auction_date,security_type,security_term,tenor_group
2005-06-09,Note,9-Year 11-Month,10Y
2005-07-13,Note,5-Year,5Y
2005-08-10,Note,5-Year,5Y
2005-08-11,Note,10-Year,10Y
2005-09-07,Note,5-Year,5Y
2005-09-08,Note,9-Year 11-Month,10Y
2005-10-12,Note,5-Year,5Y
2005-11-09,Note,5-Year,5Y
2005-11-10,Note,10-Year,10Y
2005-12-07,Note,5-Year,5Y
2005-12-08,Note,9-Year 11-Month,10Y
2006-01-11,Note,5-Year,5Y
2006-02-08,Note,10-Year,10Y
2006-02-09,Bond,30-Year,30Y
2006-02-23,Note,5-Year,5Y
2006-03-09,Note,9-Year 11-Month,10Y
2006-03-29,Note,5-Year,5Y
2006-04-27,Note,5-Year,5Y
2006-05-11,Note,10-Year,10Y
2006-05-25,Note,5-Year,5Y
2006-06-08,Note,9-Year 11-Month,10Y
2006-06-28,Note,5-Year,5Y
2006-07-27,Note,5-Year,5Y
2006-08-09,Note,10-Year,10Y
2006-08-10,Bond,29-Year 6-Month,30Y
2006-08-30,Note,5-Year,5Y
2006-09-12,Note,9-Year 11-Month,10Y
2006-09-28,Note,5-Year,5Y
2006-10-26,Note,5-Year,5Y
2006-11-09,Note,10-Year,10Y
2006-11-29,Note,5-Year,5Y
2006-12-13,Note,9-Year 11-Month,10Y
2006-12-28,Note,5-Year,5Y
2007-01-25,Note,5-Year,5Y
2007-02-07,Note,10-Year,10Y
2007-02-08,Bond,30-Year,30Y
2007-02-22,Note,5-Year,5Y
2007-03-13,Note,9-Year 11-Month,10Y
2007-03-29,Note,5-Year,5Y
2007-04-26,Note,5-Year,5Y
2007-05-08,Note,10-Year,10Y
2007-05-10,Bond,29-Year 9-Month,30Y
2007-05-30,Note,5-Year,5Y
